collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
534576.0,46867,52,Florida State,ACC,18,New Orleans,2015,78,3,14,P.J. Williams,Cornerback,72.0,194,58.0,7.0,81.0
535547.0,46843,258,Virginia,ACC,25,San Francisco,2015,79,3,15,Eli Harold,Outside Linebacker,75.0,247,34.0,4.0,88.0
535214.0,46910,24,Stanford,Pac-12,8,Detroit,2015,80,3,16,Alex Carter,Cornerback,72.0,196,101.0,14.0,69.0
-1018093.0,46979,97,Louisville,ACC,2,Buffalo,2015,81,3,17,John Miller,Offensive Guard,75.0,303,170.0,10.0,51.0
-1018092.0,46926,97,Louisville,ACC,20,New York,2015,82,3,18,Lorenzo Mauldin,Outside Linebacker,76.0,259,117.0,12.0,66.0
500313.0,47010,326,Texas State,Sun Belt,24,Los Angeles,2015,83,3,19,Craig Mager,Cornerback,72.0,201,201.0,18.0,59.0
501935.0,46950,251,Texas,Big 12,21,Philadelphia,2015,84,3,20,Jordan Hicks,Inside Linebacker,73.0,236,141.0,6.0,59.0
518366.0,46885,164,Rutgers,Big Ten,4,Cincinnati,2015,85,3,21,Tyler Kroft,Tight End,78.0,246,76.0,3.0,75.0
499005.0,46905,2460,Northern Iowa,MVFC,22,Arizona,2015,86,3,22,David Johnson,Running Back,73.0,224,96.0,9.0,69.0
515949.0,46881,2,Auburn,SEC,23,Pittsburgh,2015,87,3,23,Sammie Coates,Wide Receiver,73.0,212,72.0,12.0,77.0
-1016571.0,46894,99,LSU,SEC,16,Minnesota,2015,88,3,24,Danielle Hunter,Defensive End,77.0,252,85.0,10.0,71.0
504786.0,46917,204,Oregon State,Pac-12,14,Los Angeles,2015,89,3,25,Sean Mannion,Quarterback,78.0,229,108.0,4.0,68.0
-1014315.0,46866,2294,Iowa,Big Ten,33,Baltimore,2015,90,3,26,Carl Davis,Defensive Tackle,77.0,320,57.0,7.0,81.0
-1009831.0,46942,57,Florida,SEC,6,Dallas,2015,91,3,27,Chaz Green,Offensive Tackle,77.0,314,133.0,15.0,60.0
514175.0,46913,194,Ohio State,Big Ten,7,Denver,2015,92,3,28,Jeff Heuerman,Tight End,77.0,254,104.0,4.0,69.0
-1033001.0,46886,24,Stanford,Pac-12,11,Indianapolis,2015,93,3,29,Henry Anderson,Defensive End,78.0,294,77.0,9.0,75.0
516363.0,46916,24,Stanford,Pac-12,9,Green Bay,2015,94,3,30,Ty Montgomery,Wide Receiver,72.0,221,107.0,16.0,68.0
535917.0,46944,57,Florida,SEC,28,Washington,2015,95,3,31,Matt Jones,Running Back,74.0,231,135.0,12.0,60.0
-1042349.0,46902,265,Washington State,Pac-12,5,Cleveland,2015,96,3,32,Xavier Cooper,Defensive Tackle,75.0,293,93.0,8.0,70.0
501893.0,46959,201,Oklahoma,Big 12,17,New England,2015,97,3,33,Geneo Grissom,Defensive End,75.0,262,150.0,14.0,55.0
546871.0,46915,204,Oregon State,Pac-12,12,Kansas City,2015,98,3,34,Steven Nelson,Cornerback,70.0,197,106.0,16.0,68.0
-1033604.0,46883,2628,TCU,Big 12,4,Cincinnati,2015,99,3,35,Paul Dawson,Outside Linebacker,72.0,235,74.0,9.0,77.0
511849.0,46991,2,Auburn,SEC,10,Tennessee,2015,100,4,1,Angelo Blackson,Defensive Tackle,76.0,318,182.0,16.0,49.0
515923.0,46870,8,Arkansas,SEC,17,New England,2015,101,4,2,Trey Flowers,Defensive End,74.0,266,61.0,7.0,80.0
-1027517.0,46897,201,Oklahoma,Big 12,29,Carolina,2015,102,4,3,Daryl Williams,Offensive Tackle,77.0,327,88.0,10.0,71.0
480746.0,46890,239,Baylor,Big 12,20,New York,2015,103,4,4,Bryce Petty,Quarterback,75.0,230,81.0,3.0,73.0
513062.0,46904,97,Louisville,ACC,30,Jacksonville,2015,104,4,5,James Sample,Safety,74.0,209,95.0,4.0,70.0
517452.0,46932,150,Duke,ACC,28,Washington,2015,105,4,6,Jamison Crowder,Wide Receiver,68.0,185,123.0,19.0,64.0
503202.0,46906,127,Michigan State,Big Ten,3,Chicago,2015,106,4,7,Jeremy Langford,Running Back,72.0,208,97.0,10.0,69.0
505407.0,46887,151,East Carolina,American Athletic,1,Atlanta,2015,107,4,8,Justin Hardy,Wide Receiver,70.0,192,78.0,14.0,73.0
504027.0,46958,333,Alabama,SEC,10,Tennessee,2015,108,4,9,Jalston Fowler,Fullback,71.0,254,149.0,1.0,55.0
505705.0,46936,2116,UCF,American Athletic,11,Indianapolis,2015,109,4,10,Clayton Geathers,Safety,74.0,218,127.0,11.0,62.0
-1029465.0,46845,221,Pittsburgh,ACC,16,Minnesota,2015,110,4,11,T.J. Clemmings,Offensive Tackle,77.0,309,36.0,7.0,88.0
2576792.0,46889,52,Florida State,ACC,17,New England,2015,111,4,12,Tre Jackson,Offensive Guard,76.0,330,80.0,3.0,73.0
-1000911.0,46986,333,Alabama,SEC,28,Washington,2015,112,4,13,Arie Kouandjio,Offensive Guard,77.0,310,177.0,11.0,50.0
-1003706.0,46923,2,Auburn,SEC,8,Detroit,2015,113,4,14,Gabe Wright,Defensive Tackle,75.0,300,114.0,9.0,67.0
-1001916.0,47003,9,Arizona State,Pac-12,15,Miami,2015,114,4,15,Jamil Douglas,Offensive Guard,76.0,304,194.0,13.0,48.0
500400.0,46955,77,Northwestern,Big Ten,5,Cleveland,2015,115,4,16,Ibraheim Campbell,Safety,71.0,208,146.0,8.0,56.0
2507719.0,47296,2169,Delaware State,MEAC,22,Arizona,2015,116,4,17,Rodney Gunter,Defensive Tackle,76.0,298,,33.0,30.0
501882.0,47000,201,Oklahoma,Big 12,25,San Francisco,2015,117,4,18,Blake Bell,Tight End,78.0,252,191.0,12.0,48.0
-1011725.0,46940,61,Georgia,SEC,12,Kansas City,2015,118,4,19,Ramik Wilson,Outside Linebacker,74.0,237,131.0,14.0,61.0
-1014316.0,46967,2294,Iowa,Big Ten,14,Los Angeles,2015,119,4,20,Andrew Donnal,Offensive Tackle,78.0,313,158.0,16.0,52.0
